449 MSEC,ICOUNT,time,ft/s
1688.614,3801,1.688614,14.6742724867724
1708.615,3872,1.708615,14.7909271203107
1728.541,3944,1.728541,15.0557061126167
1748.653,4017,1.748653,15.1236409440466
1769.029,4091,1.769029,15.1321816516163
1789.102,4163,1.789102,14.9454491107457
1808.62,4236,1.80862,15.583905454794
1828.551,4307,1.828551,14.8428745839814
1849.017,4383,1.849017,15.4728167041271
1868.62,4455,1.86862,15.3037800336684
1889.282,4531,1.889282,15.326041364179
1908.788,4604,1.908788,15.5934926005673
1929.931,4683,1.929931,15.5685885005281
1948.948,4756,1.948948,15.9944610962121
1969.147,4830,1.969147,15.2647820849218
1990.574,4910,1.990574,15.5566963799567
2009.173,4981,2.009173,15.9058730756134
2032.285,5067,2.032285,15.5042113764855
2064.167,5185,2.064167,15.4214499299501
2070.071,5211,2.070071,18.3491418247516
2089.181,5284,2.089181,15.9166230594801
2109.144,5360,2.109144,15.8626792900201
2130.411,5441,2.130411,15.8696572154039
2148.875,5510,2.148875,15.5708405545928
2169.684,5589,2.169684,15.8184759799444
2189.437,5665,2.189437,16.0313201370258
2209.124,5742,2.209124,16.2967101809994
2229.526,5820,2.229526,15.9298108028624
2248.876,5898,2.248876,16.7958656330746
2268.788,5974,2.268788,15.9033078880409
2289.165,6053,2.289165,16.1538335705289
2308.95,6130,2.30895,16.2159885435095
2329.199,6210,2.329199,16.4617182741533
2348.945,6287,2.348945,16.2480164759107
2369.449,6366,2.369449,16.0537781245937
2388.762,6443,2.388762,16.6122991422012
2408.757,6522,2.408757,16.4624489455698
2429.908,6604,2.429908,16.1536885568847
2448.736,6680,2.448736,16.8189221726507
2469.939,6763,2.469939,16.3105849801129
2488.604,6837,2.488604,16.5193320832217
2508.803,6917,2.508803,16.5024671188342
2528.901,6998,2.528901,16.7927156931038
2548.631,7076,2.548631,16.4723770907248
2569.414,7157,2.569414,16.2392339893179
2589.33,7237,2.58933,16.7369619066749
2609.115,7317,2.609115,16.8477803049449
2629.311,7398,2.629311,16.7112299465238
2649.548,7478,2.649548,16.4714796330157
2669.171,7557,2.669171,16.7745332857701
2693.128,7654,2.693128,16.8705040976191
2709.106,7719,2.709106,16.9503901197479
2728.751,7797,2.728751,16.54364978366
2748.923,7878,2.748923,16.7311124330759
2769.074,7959,2.769074,16.7485484591333
2789.713,8040,2.789713,16.3525364600997
2808.983,8119,2.808983,17.0818197543678
2829.134,8202,2.829134,17.162092865532
2851.712,8293,2.851712,16.793633920926
2869.048,8363,2.869048,16.8243347177359
2889.868,8446,2.889868,16.6106308037142
2908.581,8523,2.908581,17.14494380021
2928.791,8605,2.928791,16.9058222002309
